Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,176.600006,176.600006,173.600006,173.600006,146.553421,391712
2015-09-29,172.600006,174.300003,170.500000,172.800003,145.878067,525209
2015-09-30,175.899994,179.100006,173.300003,179.100006,151.196518,651939
2015-10-01,181.899994,181.899994,178.899994,179.899994,151.871872,621949
2015-10-02,175.399994,176.300003,167.552002,175.300003,147.988556,1142517
2015-10-05,176.300003,181.899994,176.300003,177.899994,150.183502,1025970
2015-10-06,179.199997,179.500000,176.800003,179.399994,151.449783,7224888
2015-10-07,178.699997,181.500000,178.679993,179.300003,151.365341,1196466
2015-10-08,180.600006,189.899994,178.000000,189.500000,159.976212,1383722
2015-10-09,187.300003,217.899994,187.300003,214.899994,181.418945,1684106
2015-10-12,212.000000,212.792007,203.401993,207.000000,174.749741,1321765
2015-10-13,208.000000,208.000000,202.800003,203.500000,171.795059,723837
2015-10-14,205.399994,223.100006,201.000000,220.600006,186.230896,1315199
2015-10-15,216.600006,218.800003,212.199997,212.199997,179.139572,966464
2015-10-16,217.600006,217.600006,201.899994,202.399994,170.866425,869997
2015-10-19,202.000000,206.100006,202.000000,204.699997,172.808090,697784
2015-10-20,207.699997,207.699997,201.800003,202.699997,171.119690,746038
2015-10-21,205.000000,208.800003,202.600006,207.899994,175.509521,467719
2015-10-22,208.399994,209.500000,205.600006,208.199997,175.762756,636004
2015-10-23,206.600006,209.500000,206.000000,208.500000,176.016052,492057
2015-10-26,210.000000,210.000000,205.300003,208.199997,175.762756,580922
2015-10-27,208.899994,208.899994,203.600006,206.600006,174.412079,882291
2015-10-28,209.800003,209.800003,202.000000,202.000000,170.528763,855215
2015-10-29,200.899994,205.199997,200.899994,204.600006,172.723679,752127
2015-10-30,207.800003,207.800003,203.000000,205.100006,173.145782,572002
2015-11-02,207.600006,211.300003,206.000000,206.500000,174.327637,565532
2015-11-03,204.500000,214.100006,203.899994,213.000000,179.814972,1108461
2015-11-04,216.100006,221.300003,213.899994,219.100006,184.964615,745262
2015-11-05,221.399994,221.500000,217.100006,219.600006,185.386703,685652
2015-11-06,221.899994,221.899994,217.500000,220.100006,185.808777,518800
2015-11-09,217.500000,222.300003,217.500000,219.899994,185.639923,861186
2015-11-10,223.899994,223.899994,216.300003,219.800003,185.555542,466590
2015-11-11,215.899994,223.300003,215.899994,220.199997,185.893204,575017
2015-11-12,223.199997,223.199997,217.300003,220.500000,186.146454,378252
2015-11-13,223.100006,223.500000,215.800003,217.500000,183.613892,366718
2015-11-16,222.399994,223.899994,218.100006,223.899994,189.016739,567954
2015-11-17,220.699997,228.500000,220.699997,227.399994,191.971481,510796
2015-11-18,222.899994,232.800003,222.899994,228.100006,192.562454,615060
2015-11-19,232.000000,241.000000,227.800003,232.000000,195.854782,1586271
2015-11-20,232.000000,239.800003,230.000000,237.100006,200.160217,790500
2015-11-23,233.000000,237.699997,232.600006,235.500000,198.809509,818151
2015-11-24,232.600006,235.600006,228.699997,231.699997,195.601517,892273
2015-11-25,234.500000,234.500000,227.199997,229.000000,193.322189,1125327
2015-11-26,232.000000,237.199997,229.399994,236.699997,199.822556,327444
2015-11-27,236.000000,237.399994,233.100006,235.199997,198.556244,441143
2015-11-30,231.199997,243.199997,231.199997,241.800003,204.127975,704878
2015-12-01,242.600006,244.100006,240.600006,243.199997,205.309860,430148
2015-12-02,246.899994,246.899994,238.500000,241.199997,203.621460,3740820
2015-12-03,238.000000,238.600006,231.399994,232.199997,200.173141,531972
2015-12-04,231.199997,236.699997,231.100006,235.699997,203.190430,500592
2015-12-07,240.600006,240.600006,233.199997,235.000000,202.586975,786324
2015-12-08,234.000000,234.000000,228.000000,229.800003,198.104187,812847
2015-12-09,236.500000,236.500000,226.600006,231.300003,199.397278,805911
2015-12-10,234.899994,234.899994,227.600006,230.699997,198.880035,280451
2015-12-11,229.199997,229.500000,225.000000,228.000000,196.552460,425392
2015-12-14,224.000000,231.300003,224.000000,224.899994,193.880035,499187
2015-12-15,226.699997,230.899994,224.899994,225.899994,194.742096,301735
2015-12-16,229.300003,229.300003,225.600006,226.800003,195.517960,267995
2015-12-17,226.699997,230.000000,226.699997,228.300003,196.811096,407710
2015-12-18,226.899994,230.000000,225.100006,226.300003,195.086945,581875
2015-12-21,222.500000,230.100006,222.500000,226.899994,195.604156,299798
2015-12-22,227.100006,230.100006,226.423996,228.000000,196.552460,212732
2015-12-23,231.600006,235.399994,227.600006,232.300003,200.259369,673642
2015-12-24,237.000000,237.000000,232.199997,235.800003,203.276627,65620
2015-12-29,235.500000,239.800003,234.000000,236.600006,203.966309,488254
2015-12-30,241.100006,241.100006,235.878998,239.899994,206.811111,243470
2015-12-31,237.100006,240.699997,236.000000,238.300003,205.431808,71163
2016-01-04,243.000000,243.000000,230.699997,231.699997,199.742096,281856
2016-01-05,233.000000,233.600006,224.100006,229.600006,197.931763,826498
2016-01-06,232.100006,232.100006,219.600006,222.899994,192.155884,540390
2016-01-07,220.000000,220.000000,213.600006,217.000000,187.069672,973595
2016-01-08,220.600006,224.899994,218.100006,220.000000,189.655884,728695
2016-01-11,225.300003,225.300003,217.199997,217.199997,187.242065,422781
2016-01-12,219.899994,223.600006,218.199997,223.600006,192.759354,729970
2016-01-13,227.100006,239.500000,225.000000,237.399994,204.655930,1145307
2016-01-14,234.300003,239.100006,232.800003,234.899994,202.500732,1566870
2016-01-15,231.800003,235.800003,227.199997,231.500000,199.569702,1190657
2016-01-18,229.600006,232.199997,222.199997,222.199997,191.552414,1003562
2016-01-19,224.000000,226.490005,220.600006,221.800003,191.207581,559476
2016-01-20,216.800003,219.300003,208.899994,209.800003,180.862747,507844
2016-01-21,209.199997,212.199997,204.100006,209.199997,180.345505,582301
2016-01-22,213.800003,217.000000,211.399994,216.899994,186.983444,567891
2016-01-25,216.300003,218.500000,212.509995,215.000000,185.345520,775937
2016-01-26,213.300003,218.899994,210.500000,217.800003,187.759308,253598
2016-01-27,219.800003,220.199997,209.699997,212.300003,183.017899,661213
